x (Extr) hub,y (Extr) hub,x (Intr) hub ,y (Intr) hub,x (Extr) tip,y (Extr) tip,x (Intr) tip,y (Intr) tip,theta,h1,rHub1,rHub2,x (perfil cinta),y  (perfil cinta),z  (perfil cinta),solidez,s,nAlabes,angulo,rEje,rCarenado
2.14436E-12,8.11129E-12,2.14436E-12,8.11129E-12,7.2195E-12,4.27434E-12,7.2195E-12,4.27434E-12,0,-0.007639162,0,0,0,0,0.169783538,0.879849126,0.09368984,11,32.72727273,0.1,0.264875177
-0.00090455,0.000876035,0.00121945,0.000302261,-2.97474E-05,0.001258874,0.001080918,-0.000640341,-0.636627831,-0.006738441,0.001697835,0.001716438,0.000303416,0,0.169802141,,,,,,0.317850213
-0.001125779,0.001575836,0.001761922,0.000779043,0.000303686,0.001912697,0.001801972,-0.000681302,-1.271358713,-0.00583772,0.003395671,0.003432877,0.000606831,0,0.169820744,,,,,,
-0.001255778,0.002254404,0.002219497,0.001275309,0.000687219,0.002487377,0.002476212,-0.000648809,-1.904070635,-0.004936999,0.005093506,0.005149315,0.000910247,0,0.169839347,,,,,,
-0.001331756,0.002920904,0.002629374,0.001781863,0.001100772,0.003015552,0.003123688,-0.000575517,-2.534642309,-0.004036278,0.006791342,0.006865753,0.001213662,0,0.16985795,,,,,,
-0.00140376,0.003589125,0.00304159,0.00228488,0.001518365,0.003542164,0.003770348,-0.000506386,-3.16295337,-0.003135557,0.008489177,0.008582191,0.001517078,0,0.169876553,,,,,,
-0.001411437,0.004240988,0.003395783,0.002802405,0.00197031,0.004011984,0.004385849,-0.000386204,-3.78888456,-0.002234837,0.010187012,0.01029863,0.001820493,0,0.169895156,,,,,,
-0.001415303,0.004893877,0.003752459,0.003317022,0.002425689,0.00447986,0.005001077,-0.000269836,-4.41231793,-0.001334116,0.011884848,0.012015068,0.002123909,0,0.169913759,,,,,,
-0.001398502,0.005542528,0.004094752,0.003833959,0.00289282,0.004930215,0.005607686,-0.000141722,-5.033137022,-0.000433395,0.013582683,0.013731506,0.002427324,0,0.169932362,,,,,,
-0.001361108,0.006186649,0.004422725,0.004353475,0.003371443,0.005362892,0.006205903,-1.72303E-06,-5.651227061,0.000467326,0.015280518,0.015447945,0.00273074,0,0.169950964,,,,,,
-0.001319988,0.006831366,0.004753234,0.00487041,0.00385314,0.005793379,0.006804115,0.000134658,-6.266475138,0.001368047,0.016978354,0.017164383,0.003034156,0,0.169969567,,,,,,
-0.001243027,0.007466099,0.005054154,0.005395309,0.004353367,0.006191603,0.007386835,0.000297477,-6.878770392,0.002268768,0.018676189,0.018880821,0.003337571,0,0.16998817,,,,,,
-0.001162439,0.008101041,0.005357687,0.005917949,0.004856324,0.006587431,0.007969832,0.000456851,-7.488004183,0.003169489,0.020374025,0.02059726,0.003640987,0,0.170006773,,,,,,
-0.001078219,0.008736169,0.005663818,0.006438316,0.005361999,0.006980843,0.008553084,0.000612784,-8.094070259,0.004070209,0.02207186,0.022313698,0.003944402,0,0.170025376,,,,,,
-0.000990363,0.009371463,0.005972531,0.006956398,0.005870382,0.007371821,0.009136572,0.000765276,-8.696864923,0.00497093,0.023769695,0.024030136,0.004247818,0,0.170043979,,,,,,
-0.000898867,0.010006903,0.006283811,0.007472182,0.00638146,0.007760349,0.009720277,0.00091433,-9.296287185,0.005871651,0.025467531,0.025746574,0.004551233,0,0.170062582,,,,,,
-0.000773313,0.010631549,0.006567228,0.007996572,0.006909231,0.008117289,0.010290169,0.001089068,-9.892238907,0.006772372,0.027165366,0.027463013,0.004854649,0,0.170081185,,,,,,
-0.000644229,0.011255973,0.006853298,0.008518966,0.007439359,0.008471593,0.010860551,0.001260521,-10.48462494,0.007673093,0.028863202,0.029179451,0.005158064,0,0.170099788,,,,,,
-0.000511614,0.011880152,0.007142008,0.009039351,0.007971832,0.008823245,0.011431403,0.001428691,-11.07335327,0.008573814,0.030561037,0.030895889,0.00546148,0,0.170118391,,,,,,
-0.000375466,0.012504069,0.007433344,0.009557713,0.008506637,0.009172231,0.012002708,0.001593576,-11.6583351,0.009474534,0.032258872,0.032612328,0.005764896,0,0.170136994,,,,,,
-0.000235785,0.013127701,0.007727294,0.01007404,0.009043761,0.009518536,0.012574447,0.001755177,-12.23948499,0.010375255,0.033956708,0.034328766,0.006068311,0,0.170155597,,,,,,
-6.9528E-05,0.013742052,0.008000802,0.010597296,0.009593306,0.009839579,0.013136483,0.001936061,-12.81672095,0.011275976,0.035654543,0.036045204,0.006371727,0,0.170174199,,,,,,
0.000100167,0.014355831,0.008276993,0.011118739,0.010144899,0.010157803,0.013699159,0.002113768,-13.38996451,0.012176697,0.037352378,0.037761643,0.006675142,0,0.170192802,,,,,,
0.000273298,0.01496902,0.008555856,0.011638354,0.010698526,0.010473194,0.014262456,0.002288299,-13.95914083,0.013077418,0.039050214,0.039478081,0.006978558,0,0.170211405,,,,,,
0.000449863,0.015581599,0.00883738,0.012156128,0.011254172,0.010785741,0.014826356,0.002459651,-14.52417873,0.013978139,0.040748049,0.041194519,0.007281973,0,0.170230008,,,,,,
0.000629862,0.016193549,0.009121552,0.012672047,0.011811823,0.011095431,0.015390842,0.002627823,-15.08501075,0.01487886,0.042445885,0.042910957,0.007585389,0,0.170248611,,,,,,
0.000833806,0.016796215,0.009387848,0.013194734,0.012380019,0.011381704,0.015947341,0.00281336,-15.6415732,0.01577958,0.04414372,0.044627396,0.007888804,0,0.170267214,,,,,,
0.001041085,0.017397992,0.009656863,0.01371576,0.012949968,0.011665003,0.016504612,0.002995807,-16.19380622,0.016680301,0.045841555,0.046343834,0.00819222,0,0.170285817,,,,,,
0.001251697,0.017998862,0.009928586,0.014235111,0.013521656,0.011945318,0.017062636,0.00317516,-16.74165374,0.017581022,0.047539391,0.048060272,0.008495636,0,0.17030442,,,,,,
0.001465638,0.018598808,0.010203007,0.014752773,0.014095066,0.012222638,0.017621398,0.003351416,-17.28506353,0.018481743,0.049237226,0.049776711,0.008799051,0,0.170323023,,,,,,
0.001682904,0.01919781,0.010480116,0.015268731,0.014670183,0.012496952,0.018180879,0.003524572,-17.82398721,0.019382464,0.050935061,0.051493149,0.009102467,0,0.170341626,,,,,,
0.001923613,0.019786732,0.01073978,0.01579209,0.015254929,0.012747635,0.018733125,0.003715242,-18.35838019,0.020283185,0.052632897,0.053209587,0.009405882,0,0.170360229,,,,,,
0.002167541,0.020374458,0.01100221,0.016313935,0.015841129,0.012995207,0.019286278,0.003902893,-18.8882017,0.021183906,0.054330732,0.054926026,0.009709298,0,0.170378832,,,,,,
0.00241468,0.020960969,0.011267396,0.01683425,0.016428765,0.013239659,0.019840322,0.004087519,-19.41341474,0.022084626,0.056028568,0.056642464,0.010012713,0,0.170397434,,,,,,
0.002665026,0.021546248,0.011535331,0.017353022,0.017017821,0.013480984,0.020395241,0.004269117,-19.93398604,0.022985347,0.057726403,0.058358902,0.010316129,0,0.170416037,,,,,,
0.002918572,0.022130278,0.011806005,0.017870235,0.01760828,0.013719174,0.020951019,0.004447683,-20.449886,0.023886068,0.059424238,0.06007534,0.010619545,0,0.17043464,,,,,,
0.003194736,0.0227036,0.012059985,0.018395317,0.018207341,0.013933863,0.021500422,0.004643569,-20.96108867,0.024786789,0.061122074,0.061791779,0.01092296,0,0.170453243,,,,,,
0.003473986,0.023275429,0.012316787,0.01891902,0.018807553,0.014145323,0.022050871,0.004836492,-21.46757166,0.02568751,0.062819909,0.063508217,0.011226376,0,0.170471846,,,,,,
0.003756313,0.023845748,0.012576406,0.019441329,0.019408897,0.014353548,0.022602347,0.005026447,-21.96931608,0.026588231,0.064517745,0.065224655,0.011529791,0,0.170490449,,,,,,
0.00404171,0.024414541,0.012838833,0.019962231,0.020011356,0.014558532,0.023154837,0.005213427,-22.46630645,0.027488952,0.06621558,0.066941094,0.011833207,0,0.170509052,,,,,,
0.004330167,0.02498179,0.013104061,0.020481709,0.020614914,0.014760268,0.023708323,0.005397428,-22.95853064,0.028389672,0.067913415,0.068657532,0.012136622,0,0.170527655,,,,,,
0.004648886,0.025533339,0.013344872,0.02101389,0.021229015,0.014929583,0.024253327,0.005607613,-23.44597978,0.029290393,0.069611251,0.07037397,0.012440038,0,0.170546258,,,,,,
0.004970496,0.026083018,0.013588622,0.02154491,0.021843864,0.015095538,0.024799609,0.005814909,-23.92864816,0.030191114,0.071309086,0.072090409,0.012743453,0,0.170564861,,,,,,
0.005294986,0.026630814,0.013835304,0.022074753,0.022459443,0.015258131,0.025347155,0.006019308,-24.40653314,0.031091835,0.073006921,0.073806847,0.013046869,0,0.170583464,,,,,,
0.005622345,0.027176711,0.014084913,0.022603403,0.023075734,0.015417356,0.02589595,0.006220803,-24.87963505,0.031992556,0.074704757,0.075523285,0.013350285,0,0.170602067,,,,,,
0.005952562,0.027720694,0.014337444,0.023130843,0.023692718,0.015573213,0.026445977,0.006419386,-25.3479571,0.032893277,0.076402592,0.077239723,0.0136537,0,0.170620669,,,,,,
0.006305091,0.028251956,0.014573426,0.02366785,0.024316673,0.01570435,0.026990926,0.006636398,-25.81150525,0.033793997,0.078100428,0.078956162,0.013957116,0,0.170639272,,,,,,
0.006660339,0.028781065,0.014812434,0.024203824,0.024941054,0.015832045,0.027537307,0.006850551,-26.27028813,0.034694718,0.079798263,0.0806726,0.014260531,0,0.170657875,,,,,,
0.007018294,0.029308007,0.015054464,0.02473875,0.025565842,0.015956298,0.028085105,0.007061835,-26.72431694,0.035595439,0.081496098,0.082389038,0.014563947,0,0.170676478,,,,,,
0.007378941,0.029832768,0.015299513,0.025272609,0.026191018,0.016077107,0.028634305,0.007270242,-27.17360531,0.03649616,0.083193934,0.084105477,0.014867362,0,0.170695081,,,,,,
0.007742267,0.030355334,0.015547575,0.025805384,0.026816564,0.016194472,0.029184892,0.007475762,-27.61816922,0.037396881,0.084891769,0.085821915,0.015170778,0,0.170713684,,,,,,
0.008123311,0.03086681,0.015783596,0.026345942,0.02744695,0.016291503,0.02973236,0.007695276,-28.05802687,0.038297602,0.086589605,0.087538353,0.015474193,0,0.170732287,,,,,,
0.008506912,0.031375903,0.016022717,0.026885544,0.028077486,0.016385042,0.030281368,0.007911934,-28.49319861,0.039198323,0.08828744,0.089254791,0.015777609,0,0.17075089,,,,,,
0.008893055,0.031882599,0.016264935,0.027424173,0.028708152,0.01647509,0.030831898,0.008125726,-28.92370679,0.040099043,0.089985275,0.09097123,0.016081025,0,0.170769493,,,,,,
0.009281726,0.032386886,0.016510247,0.027961811,0.029338928,0.016561647,0.031383938,0.00833664,-29.34957566,0.040999764,0.091683111,0.092687668,0.01638444,0,0.170788096,,,,,,
0.009672911,0.032888752,0.016758648,0.028498441,0.029969796,0.016644716,0.031937471,0.008544668,-29.7708313,0.041900485,0.093380946,0.094404106,0.016687856,0,0.170806699,,,,,,
0.010078326,0.033380827,0.016998403,0.029041402,0.030603933,0.016710822,0.032489286,0.008763274,-30.18750148,0.042801206,0.095078781,0.096120545,0.016991271,0,0.170825302,,,,,,
0.010486146,0.033870329,0.01724132,0.029583445,0.031237977,0.01677341,0.03304271,0.008979008,-30.59961557,0.043701927,0.096776617,0.097836983,0.017294687,0,0.170843904,,,,,,
0.010896353,0.034357248,0.017487395,0.030124552,0.031871909,0.01683248,0.033597728,0.009191858,-31.00720444,0.044602648,0.098474452,0.099553421,0.017598102,0,0.170862507,,,,,,
0.011308933,0.03484157,0.017736627,0.030664704,0.03250571,0.016888037,0.034154325,0.009401814,-31.41030039,0.045503369,0.100172288,0.10126986,0.017901518,0,0.17088111,,,,,,
0.011723868,0.035323286,0.017989011,0.031203884,0.033139361,0.016940083,0.034712485,0.009608865,-31.80893698,0.046404089,0.101870123,0.102986298,0.018204933,0,0.170899713,,,,,,
0.012150203,0.035796357,0.018235484,0.0317481,0.033775066,0.016977971,0.035269968,0.00982365,-32.20314904,0.04730481,0.103567958,0.104702736,0.018508349,0,0.170918316,,,,,,
0.012578796,0.036266701,0.018485169,0.032291404,0.034410468,0.017012331,0.035829099,0.010035533,-32.59297249,0.048205531,0.105265794,0.106419174,0.018811765,0,0.170936919,,,,,,
0.013009631,0.036734307,0.018738063,0.032833777,0.035045545,0.017043168,0.036389863,0.010244501,-32.97844429,0.049106252,0.106963629,0.108135613,0.01911518,0,0.170955522,,,,,,
0.01344269,0.037199165,0.018994162,0.033375201,0.035680279,0.017070487,0.036952245,0.010450543,-33.35960237,0.050006973,0.108661464,0.109852051,0.019418596,0,0.170974125,,,,,,
0.013877956,0.037661265,0.019253465,0.033915657,0.03631465,0.017094291,0.037516229,0.010653648,-33.73648553,0.050907694,0.1103593,0.111568489,0.019722011,0,0.170992728,,,,,,
0.014322151,0.038115848,0.019509229,0.034459874,0.036950107,0.017106474,0.038080332,0.010861916,-34.10913336,0.051808415,0.112057135,0.113284928,0.020025427,0,0.171011331,,,,,,
